Date,Open,High,Low,Close,Volume
2023-10-24,97.8,98.98,97.7,98.72,112119
2023-10-25,98.43,98.76,97.95,98.22,77691
2023-10-26,97.3,97.87,97.17,97.56,74303
2023-10-27,97.43,97.69,96.76,96.83,75583
2023-10-30,97.31,97.42,96.52,96.83,132199
2023-10-31,96.9,97.68,96.82,97.58,66756
2023-11-01,97.96,98.91,97.82,98.74,142499
2023-11-02,99.22,100.18,99.19,100.18,73476
2023-11-03,100.5,100.8,100.18,100.68,123769
2023-11-06,100.72,100.78,100.52,100.54,62182
2023-11-07,100.48,101.16,100.44,101.12,43511
2023-11-08,100.8,101.24,100.6,100.68,48752
2023-11-09,100.9,101.32,100.74,101.1,52696
2023-11-10,100.7,100.92,100.2,100.86,56919
2023-11-13,101.16,101.5,101.12,101.48,48556
2023-11-14,101.44,102.3,101.18,102.16,56728
2023-11-15,102.3,102.78,102.24,102.6,81856
2023-11-16,102.36,102.4,101.78,101.92,45193
2023-11-17,102.54,102.68,102.14,102.28,36962
2023-11-20,102.12,102.4,101.98,102.36,65335
2023-11-21,102.48,102.56,102.2,102.38,47693
2023-11-22,102.6,103.34,102.56,103.22,39853
2023-11-23,103.08,103.22,102.92,103.16,25839
2023-11-24,102.98,103.1,102.8,102.94,28321
2023-11-27,102.62,102.84,102.42,102.74,47565
2023-11-28,102.52,102.58,102.14,102.58,46417
2023-11-29,102.52,103.06,102.4,102.72,26015
2023-11-30,102.98,103.4,102.86,103.14,57129
2023-12-01,103.58,104.24,103.48,104.12,127233
2023-12-04,104.12,104.12,104.12,104.12,0
2023-12-05,104.12,104.12,104.12,104.12,0
2023-12-06,104.12,104.12,104.12,104.12,0
2023-12-07,104.42,104.86,104.26,104.74,51490
2023-12-08,104.82,105.48,104.74,105.36,67461
2023-12-11,105.48,105.88,105.2,105.68,63899
2023-12-12,105.84,105.88,105.36,105.64,59626
2023-12-13,105.94,106.08,105.86,105.94,51073
2023-12-14,106.8,106.94,105.92,106.0,78613
2023-12-15,106.36,106.82,106.3,106.78,114728
2023-12-18,106.56,106.78,106.44,106.64,52804
2023-12-19,106.72,106.9,106.56,106.8,56399
2023-12-20,107.08,107.14,106.82,107.1,46314
2023-12-21,106.48,106.58,106.06,106.36,63585
2023-12-22,106.34,106.8,106.14,106.68,55029
2023-12-27,106.84,106.96,106.18,106.36,65886
2023-12-28,106.86,107.0,106.54,106.94,51355
2023-12-29,107.14,107.28,106.86,107.08,39452
